having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,Domain_registeration_length,Favicon,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,Iframe,age_of_domain,DNSRecord,web_traffic,Google_Index,Statistical_report,Result
-1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1
1,1,1,1,1,-1,0,-1,1,-1,1,0,-1,-1,1,1,0,1,1,1,-1,-1,0,1,1,-1
1,0,1,1,1,-1,-1,-1,1,-1,1,0,-1,-1,-1,-1,0,1,1,1,1,-1,1,1,-1,-1
1,0,1,1,1,-1,-1,1,1,-1,-1,0,0,-1,1,1,0,1,1,1,-1,-1,1,1,1,-1
1,0,-1,1,1,-1,1,-1,1,1,1,0,0,-1,1,1,0,-1,1,1,-1,-1,0,1,1,1
-1,0,-1,1,-1,-1,1,-1,1,-1,1,0,0,-1,-1,-1,0,1,1,1,1,1,1,1,-1,1
1,0,-1,1,1,-1,-1,1,1,1,-1,-1,0,-1,-1,-1,0,1,1,1,1,-1,-1,1,-1,-1
1,0,1,1,1,-1,-1,1,1,-1,-1,0,-1,-1,1,1,0,1,1,1,-1,-1,0,1,1,-1
1,0,-1,1,1,-1,1,-1,1,-1,1,0,1,-1,1,1,0,1,1,1,1,-1,1,1,1,1
1,1,-1,1,1,-1,-1,-1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,0,1,1,-1
1,1,1,1,1,-1,0,1,1,1,-1,0,0,-1,-1,-1,0,1,1,1,-1,1,1,1,-1,1
1,1,-1,1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,0,1,1,1,-1,-1,-1,1,-1,-1
-1,1,-1,1,-1,-1,0,1,1,-1,-1,-1,1,-1,1,1,0,-1,1,1,1,-1,-1,1,1,-1
1,1,-1,1,1,-1,0,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,-1,-1,0,1,1,-1
1,1,-1,1,1,1,-1,-1,1,-1,1,0,1,1,1,1,0,1,1,1,1,-1,1,1,1,1
1,-1,-1,-1,1,-1,0,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,1,1,-1
1,-1,-1,1,1,-1,1,-1,1,-1,1,0,-1,-1,-1,-1,0,1,1,1,1,-1,0,1,-1,-1
1,-1,1,1,1,-1,-1,1,1,1,1,0,-1,-1,-1,-1,0,1,1,1,-1,1,1,1,-1,-1
1,1,1,1,1,-1,-1,1,1,-1,-1,0,-1,-1,-1,-1,0,1,1,1,1,-1,-1,1,-1,1
1,1,1,1,1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,1
1,0,-1,1,1,-1,0,-1,1,1,1,0,0,-1,-1,-1,0,-1,1,1,-1,1,1,1,-1,1
1,0,1,1,1,-1,0,1,1,-1,-1,0,-1,-1,-1,-1,0,1,1,1,-1,1,-1,1,-1,1
1,1,1,1,1,-1,-1,-1,1,-1,1,0,0,-1,1,1,0,1,1,1,1,1,0,1,1,1
1,1,1,1,1,-1,1,-1,1,1,1,0,0,-1,1,1,0,1,1,1,1,1,1,1,1,1
1,-1,-1,-1,1,-1,1,-1,1,-1,-1,0,0,-1,1,1,0,1,1,1,1,1,-1,1,1,1
1,-1,1,1,1,-1,0,-1,1,1,1,1,0,-1,1,1,0,1,1,1,-1,1,1,1,1,1
1,-1,1,1,1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,0,1,-1,-1
1,-1,-1,1,1,1,-1,1,1,1,-1,1,0,-1,-1,-1,0,1,1,1,1,-1,0,1,-1,1
1,-1,-1,1,-1,1,-1,-1,1,1,1,1,0,-1,1,1,1,1,1,1,-1,-1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,0,-1,1,1,0,1,1,1,-1,1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,-1,1,1,0,1,1,1,-1,-1,-1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,0,-1,1,-1,1,-1,1,1,-1,1
1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,-1,-1,0,1,1,1,1,1,-1,1,-1,1
1,0,1,1,1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,0,1,1,1,1,1,1,1,-1,1
1,0,1,1,1,-1,0,1,1,1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,1,1,-1,-1
1,0,1,1,1,-1,-1,-1,1,-1,1,-1,0,-1,1,1,0,1,1,1,-1,-1,-1,1,1,-1
1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,0,-1,1,-1,-1,-1,0,1,1,-1
1,0,1,1,1,-1,-1,1,-1,1,-1,-1,0,-1,1,1,0,-1,1,1,-1,-1,0,1,1,-1
1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,0,1,1,1,1,-1,1,-1,-1,1
1,-1,1,1,1,-1,0,-1,1,-1,-1,1,0,-1,1,1,0,1,1,1,-1,-1,1,1,1,1
